County Name,Age Group,Doses Administered
Anderson,16-49 years,"1,413"
Anderson,50-64 years,"2,042"
Anderson,65-79 years,"3,472"
Anderson,80+ years,"1,009"
Anderson,Unknown,2
Andrews,16-49 years,"3,288"
Andrews,50-64 years,"2,442"
Andrews,65-79 years,"1,708"
Andrews,80+ years,566
Angelina,16-49 years,"5,590"
Angelina,50-64 years,"6,880"
Angelina,65-79 years,"9,186"
Angelina,80+ years,"3,024"
Angelina,Unknown,14
Aransas,16-49 years,"1,162"
Aransas,50-64 years,"2,243"
Aransas,65-79 years,"4,547"
Aransas,80+ years,"1,327"
Aransas,Unknown,2
Archer,16-49 years,793
Archer,50-64 years,968
Archer,65-79 years,"1,302"
Archer,80+ years,396
Armstrong,16-49 years,142
Armstrong,50-64 years,186
Armstrong,65-79 years,343
Armstrong,80+ years,105
Armstrong,Unknown,1
Atascosa,16-49 years,"3,100"
Atascosa,50-64 years,"3,297"
Atascosa,65-79 years,"3,752"
Atascosa,80+ years,947
Atascosa,Unknown,3
Austin,16-49 years,"1,957"
Austin,50-64 years,"2,553"
Austin,65-79 years,"4,746"
Austin,80+ years,"1,418"
Austin,Unknown,3
Bailey,16-49 years,972
Bailey,50-64 years,944
Bailey,65-79 years,855
Bailey,80+ years,314
Bailey,Unknown,2
Bandera,16-49 years,948
Bandera,50-64 years,"1,614"
Bandera,65-79 years,"3,066"
Bandera,80+ years,776
Bandera,Unknown,4
Bastrop,16-49 years,"5,531"
Bastrop,50-64 years,"5,869"
Bastrop,65-79 years,"7,228"
Bastrop,80+ years,"1,608"
Bastrop,Unknown,5
Baylor,16-49 years,272
Baylor,50-64 years,452
Baylor,65-79 years,792
Baylor,80+ years,257
Baylor,Unknown,2
Bee,16-49 years,"4,052"
Bee,50-64 years,"4,145"
Bee,65-79 years,"4,003"
Bee,80+ years,"1,125"
Bee,Unknown,9
Bell,16-49 years,"22,463"
Bell,50-64 years,"17,422"
Bell,65-79 years,"23,020"
Bell,80+ years,"7,190"
Bell,Unknown,20
Bexar,16-49 years,"248,774"
Bexar,50-64 years,"173,852"
Bexar,65-79 years,"175,262"
Bexar,80+ years,"43,540"
Bexar,Unknown,271
Blanco,16-49 years,516
Blanco,50-64 years,"1,011"
Blanco,65-79 years,"2,273"
Blanco,80+ years,518
Blanco,Unknown,3
Borden,16-49 years,37
Borden,50-64 years,42
Borden,65-79 years,76
Borden,80+ years,19
Bosque,16-49 years,"1,026"
Bosque,50-64 years,"1,549"
Bosque,65-79 years,"2,771"
Bosque,80+ years,966
Bosque,Unknown,1
Bowie,16-49 years,"4,328"
Bowie,50-64 years,"5,039"
Bowie,65-79 years,"6,913"
Bowie,80+ years,"2,489"
Bowie,Unknown,10
Brazoria,16-49 years,"41,150"
Brazoria,50-64 years,"32,979"
Brazoria,65-79 years,"37,702"
Brazoria,80+ years,"10,045"
Brazoria,Unknown,20
Brazos,16-49 years,"22,954"
Brazos,50-64 years,"15,151"
Brazos,65-79 years,"18,316"
Brazos,80+ years,"6,207"
Brazos,Unknown,25
Brewster,16-49 years,"1,603"
Brewster,50-64 years,"1,459"
Brewster,65-79 years,"1,844"
Brewster,80+ years,423
Brewster,Unknown,11
Briscoe,16-49 years,125
Briscoe,50-64 years,180
Briscoe,65-79 years,323
Briscoe,80+ years,123
Brooks,16-49 years,"1,098"
Brooks,50-64 years,"1,024"
Brooks,65-79 years,"1,054"
Brooks,80+ years,353
Brown,16-49 years,"1,901"
Brown,50-64 years,"2,397"
Brown,65-79 years,"3,714"
Brown,80+ years,"1,131"
Brown,Unknown,6
Burleson,16-49 years,845
Burleson,50-64 years,"1,501"
Burleson,65-79 years,"2,354"
Burleson,80+ years,721
Burleson,Unknown,4
Burnet,16-49 years,"1,966"
Burnet,50-64 years,"2,772"
Burnet,65-79 years,"6,458"
Burnet,80+ years,"2,351"
Burnet,Unknown,3
Caldwell,16-49 years,"2,531"
Caldwell,50-64 years,"2,492"
Caldwell,65-79 years,"3,270"
Caldwell,80+ years,942
Caldwell,Unknown,5
Calhoun,16-49 years,"1,277"
Calhoun,50-64 years,"1,663"
Calhoun,65-79 years,"2,168"
Calhoun,80+ years,749
Calhoun,Unknown,5
Callahan,16-49 years,771
Callahan,50-64 years,"1,016"
Callahan,65-79 years,"1,460"
Callahan,80+ years,484
Cameron,16-49 years,"58,694"
Cameron,50-64 years,"41,511"
Cameron,65-79 years,"48,157"
Cameron,80+ years,"12,500"
Cameron,Unknown,126
Camp,16-49 years,545
Camp,50-64 years,676
Camp,65-79 years,"1,309"
Camp,80+ years,417
Camp,Unknown,1
Carson,16-49 years,361
Carson,50-64 years,532
Carson,65-79 years,728
Carson,80+ years,252
Carson,Unknown,1
Cass,16-49 years,772
Cass,50-64 years,"1,364"
Cass,65-79 years,"2,349"
Cass,80+ years,706
Cass,Unknown,2
Castro,16-49 years,555
Castro,50-64 years,635
Castro,65-79 years,914
Castro,80+ years,391
Castro,Unknown,1
Chambers,16-49 years,"3,051"
Chambers,50-64 years,"3,161"
Chambers,65-79 years,"4,344"
Chambers,80+ years,992
Chambers,Unknown,18
Cherokee,16-49 years,"2,204"
Cherokee,50-64 years,"2,811"
Cherokee,65-79 years,"4,638"
Cherokee,80+ years,"1,413"
Cherokee,Unknown,13
Childress,16-49 years,715
Childress,50-64 years,599
Childress,65-79 years,752
Childress,80+ years,298
Childress,Unknown,3
Clay,16-49 years,860
Clay,50-64 years,"1,542"
Clay,65-79 years,"2,188"
Clay,80+ years,624
Clay,Unknown,2
Cochran,16-49 years,419
Cochran,50-64 years,412
Cochran,65-79 years,318
Cochran,80+ years,104
Cochran,Unknown,4
Coke,16-49 years,139
Coke,50-64 years,315
Coke,65-79 years,508
Coke,80+ years,211
Coleman,16-49 years,349
Coleman,50-64 years,546
Coleman,65-79 years,984
Coleman,80+ years,349
Coleman,Unknown,1
Collin,16-49 years,"132,279"
Collin,50-64 years,"101,541"
Collin,65-79 years,"109,829"
Collin,80+ years,"26,723"
Collin,Unknown,164
Collingsworth,16-49 years,180
Collingsworth,50-64 years,282
Collingsworth,65-79 years,403
Collingsworth,80+ years,172
Collingsworth,Unknown,3
Colorado,16-49 years,996
Colorado,50-64 years,"1,769"
Colorado,65-79 years,"3,458"
Colorado,80+ years,"1,143"
Colorado,Unknown,1
Comal,16-49 years,"13,768"
Comal,50-64 years,"14,184"
Comal,65-79 years,"21,993"
Comal,80+ years,"5,054"
Comal,Unknown,14
Comanche,16-49 years,688
Comanche,50-64 years,"1,165"
Comanche,65-79 years,"2,060"
Comanche,80+ years,826
Comanche,Unknown,2
Concho,16-49 years,187
Concho,50-64 years,275
Concho,65-79 years,534
Concho,80+ years,188
Cooke,16-49 years,"1,658"
Cooke,50-64 years,"2,490"
Cooke,65-79 years,"4,607"
Cooke,80+ years,"1,558"
Cooke,Unknown,6
Coryell,16-49 years,"3,279"
Coryell,50-64 years,"3,230"
Coryell,65-79 years,"4,434"
Coryell,80+ years,"1,529"
Coryell,Unknown,15
Cottle,16-49 years,56
Cottle,50-64 years,150
Cottle,65-79 years,174
Cottle,80+ years,63
Crane,16-49 years,600
Crane,50-64 years,492
Crane,65-79 years,437
Crane,80+ years,124
Crockett,16-49 years,282
Crockett,50-64 years,407
Crockett,65-79 years,537
Crockett,80+ years,137
Crosby,16-49 years,618
Crosby,50-64 years,832
Crosby,65-79 years,934
Crosby,80+ years,337
Culberson,16-49 years,269
Culberson,50-64 years,283
Culberson,65-79 years,328
Culberson,80+ years,72
Dallam,16-49 years,"1,623"
Dallam,50-64 years,779
Dallam,65-79 years,597
Dallam,80+ years,241
Dallam,Unknown,3
Dallas,16-49 years,"275,185"
Dallas,50-64 years,"209,198"
Dallas,65-79 years,"225,423"
Dallas,80+ years,"60,547"
Dallas,Unknown,198
Dawson,16-49 years,505
Dawson,50-64 years,744
Dawson,65-79 years,"1,025"
Dawson,80+ years,346
Dawson,Unknown,6
Deaf Smith,16-49 years,"1,260"
Deaf Smith,50-64 years,"1,470"
Deaf Smith,65-79 years,"1,569"
Deaf Smith,80+ years,571
Deaf Smith,Unknown,4
Delta,16-49 years,215
Delta,50-64 years,277
Delta,65-79 years,639
Delta,80+ years,210
Denton,16-49 years,"95,019"
Denton,50-64 years,"70,995"
Denton,65-79 years,"86,019"
Denton,80+ years,"18,546"
Denton,Unknown,29
DeWitt,16-49 years,857
DeWitt,50-64 years,"1,440"
DeWitt,65-79 years,"2,129"
DeWitt,80+ years,672
DeWitt,Unknown,4
Dickens,16-49 years,90
Dickens,50-64 years,166
Dickens,65-79 years,322
Dickens,80+ years,109
Dickens,Unknown,1
Dimmit,16-49 years,"2,202"
Dimmit,50-64 years,"1,749"
Dimmit,65-79 years,"1,630"
Dimmit,80+ years,379
Dimmit,Unknown,6
Donley,16-49 years,174
Donley,50-64 years,286
Donley,65-79 years,488
Donley,80+ years,203
Donley,Unknown,1
Duval,16-49 years,"1,654"
Duval,50-64 years,"1,688"
Duval,65-79 years,"1,642"
Duval,80+ years,499
Duval,Unknown,6
Eastland,16-49 years,"1,017"
Eastland,50-64 years,"1,320"
Eastland,65-79 years,"1,787"
Eastland,80+ years,722
Eastland,Unknown,2
Ector,16-49 years,"18,379"
Ector,50-64 years,"14,758"
Ector,65-79 years,"11,420"
Ector,80+ years,"3,070"
Ector,Unknown,16
Edwards,16-49 years,373
Edwards,50-64 years,485
Edwards,65-79 years,468
Edwards,80+ years,159
Edwards,Unknown,3
El Paso,16-49 years,"124,240"
El Paso,50-64 years,"84,043"
El Paso,65-79 years,"84,512"
El Paso,80+ years,"28,682"
El Paso,Unknown,267
Ellis,16-49 years,"15,505"
Ellis,50-64 years,"15,370"
Ellis,65-79 years,"21,142"
Ellis,80+ years,"5,497"
Ellis,Unknown,14
Erath,16-49 years,"2,523"
Erath,50-64 years,"2,789"
Erath,65-79 years,"3,938"
Erath,80+ years,"1,527"
Erath,Unknown,5
Falls,16-49 years,862
Falls,50-64 years,"1,230"
Falls,65-79 years,"1,811"
Falls,80+ years,572
Falls,Unknown,2
Fannin,16-49 years,"1,587"
Fannin,50-64 years,"2,465"
Fannin,65-79 years,"4,067"
Fannin,80+ years,"1,459"
Fannin,Unknown,1
